Label,  Description,           Package,    Part Number,          Required?,    Est Cost,     Comment
J13,    1/4" connector,        -,          uxcell Audio 6.35mm,  Yes,           2.00,        Required for pedals.
J14,    1/4" connector,        -,          uxcell Audio 6.35mm,  Yes,           2.00,        Required for pedals.
J15,    1/4" connector,        -,          uxcell Audio 6.35mm,  Yes,           2.00,        Required for pedals.
J4,     1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J5,     1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J6,     1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J7,     1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J8,     1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J9,     1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J16,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J17,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J18,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J19,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J20,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J21,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J22,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J23,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J24,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J25,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J26,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J27,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J28,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J29,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J30,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J31,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J32,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J33,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J34,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J35,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J36,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J37,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J38,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J39,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J40,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J41,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J42,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J43,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J44,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
J45,    1x8 pin male 0.1in,    -,          -,                    Yes,           0.16,        Header for connection to external sensors.
-,      1x6 pin female 0.1in,  -,          -,                    Yes,           0.16,        SCA header. Top. Next to D6.
-,      1x3 pin female 0.1in,  -,          -,                    Yes,           0.16,        SCA header. Right. Next to R14 and J11.
-,      1x13 pin female 0.1in, -,          -,                    Yes,           0.16,        SCA header. Bottom. Next to D7 and R13.
-,      1x2 pin female 0.1in,  -,          -,                    Yes,           0.16,        SCA header. Left. Solder to 3.3v and 5v. Do not solder a connection to gnd location.
R1,     120  ohms,             0805,       ERA-6VEB1200V,        Yes,           0.75,        0.25W. 0.2% tolerance or better.
R2,     7500 ohms,             0805,       ERA-6AED752V,         No,            0.30,        For LED.  Can use smaller/larger value for brighter/dimmer LED.
R3,     7500 ohms,             0805,       ERA-6AED752V,         No,            0.30,        For LED.  Can use smaller/larger value for brighter/dimmer LED.
R4,     7500 ohms,             0805,       ERA-6AED752V,         No,            0.30,        For LED.  Can use smaller/larger value for brighter/dimmer LED.
R5,     7500 ohms,             0805,       ERA-6AED752V,         No,            0.30,        For LED.  Can use smaller/larger value for brighter/dimmer LED.
R6,     7500 ohms,             0805,       ERA-6AED752V,         No,            0.30,        For LED.  Can use smaller/larger value for brighter/dimmer LED.
R7,     47 ohms,               0805,       ERA-6AED470V,         Yes,           0.40,        0.125W. 5% tolerance or better. For IRIG signal.
R8,     47 ohms,               0805,       ERA-6AED470V,         Yes,           0.40,        0.125W. 5% tolerance or better. For IRIG signal.
R9,     100K ohms,             0805,       ERA-6AED104V,         No,            0.40,        0.125W. 5% tolerance or better. Required if using TFT display.
R10,    100K ohms,             0805,       ERA-6AED104V,         No,            0.40,        0.125W. 5% tolerance or better. Required if using TFT display.
R11,    100K ohms,             0805,       ERA-6AED104V,         No,            0.40,        0.125W. 5% tolerance or better. Required if using TFT display.
R12,       0 ohms,             0805,       RCA08050000ZSEA,      No,            0.10,        Any zero ohm resistor is ok. Required if using TFT display.
R13,       0 ohms,             0805,       RCA08050000ZSEA,      No,            0.10,        Any zero ohm resistor is ok. Required if using TFT display.
R14,       0 ohms,             0805,       RCA08050000ZSEA,      No,            0.10,        Any zero ohm resistor is ok. Required if using TFT display.
R15,    7500 ohms,             0805,       ERA-6AED752V,         No,            0.30,        For LED. Can use smaller/larger value for brighter/dimmer LED.
R16,    7500 ohms,             0805,       ERA-6AED752V,         No,            0.30,        For LED. Can use smaller/larger value for brighter/dimmer LED.
R22,    10 ohms,               0805,       10 ohm resistor,      Yes,           0.40,        0.125W. 20% tolerance or better. For pedals.
R26,    10 ohms,               0805,       10 ohm resistor,      Yes,           0.40,        0.125W. 20% tolerance or better. For pedals.
R29,    10 ohms,               0805,       10 ohm resistor,      Yes,           0.40,        0.125W. 20% tolerance or better. For pedals.
R23,    4700 ohms,             0805,       ERA-6AED472V,         No,            0.50,        0.125W. 5% tolerance or better. For pedals. Install if using passive pedals.
R25,    4700 ohms,             0805,       ERA-6AED472V,         No,            0.50,        0.125W. 5% tolerance or better. For pedals. Install if using passive pedals.
R28,    4700 ohms,             0805,       ERA-6AED472V,         No,            0.50,        0.125W. 5% tolerance or better. For pedals. Install if using passive pedals.
F1,     Fuse,                  1210,       -,                    Yes,           1.50,        User to decide.
F2,     Fuse,                  1210,       -,                    Yes,           1.50,        User to decide.
SW1,    2 position switch,     -,          DS04-254-1-02BK-SMT,  No,            0.75,        Install if would like switch for configuration functions.
SW2,    2 position switch,     -,          DS04-254-1-02BK-SMT,  No,            0.75,        Install if would like switch for configuration functions.
TP5,    16:1 out,              -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP6,    canh,                  -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP7,    canl,                  -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP8,    d1,                    -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP9,    d2,                    -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP10,   d3,                    -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP11,   d4,                    -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP12,   s0,                    -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP13,   s1,                    -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP14,   s2,                    -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP15,   s3,                    -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP19,   u1_i0,                 -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP21,   gnd,                   -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
TP22,   V3.3,                  -,          Keystone 500X,        No,            0.40,        Any breadboard header should work. This is a testpoint so optional.
U1,     16:1 multiplexer,      SOIC-24,    CD74HC4067,           Yes,           1.00,        Equivalent is ok.
U2,     16:1 multiplexer,      SOIC-24,    CD74HC4067,           Yes,           1.00,        Equivalent is ok.
U3,     16:1 multiplexer,      SOIC-24,    CD74HC4067,           Yes,           1.00,        Equivalent is ok.
U4,     16:1 multiplexer,      SOIC-24,    CD74HC4067,           Yes,           1.00,        Equivalent is ok.
U5,     16:1 multiplexer,      SOIC-24,    CD74HC4067,           Yes,           1.00,        Equivalent is ok.
U6,     16:1 multiplexer,      SOIC-24,    CD74HC4067,           Yes,           1.00,        Equivalent is ok.
U7,     Teensy4.1,             -,          -,                    Yes,          35.00,        To avoid soldering onto PCB use the two 1x24 headers (next two rows).
U7,     1x24 pin female 0.1in, -,          -,                    Yes,           0.48,        Solder onto PCB so can socket the Teensy instead of soldering the Teensy to PCB.
U7,     1x24 pin female 0.1in, -,          -,                    Yes,           0.48,        Solder onto PCB so can socket the Teensy instead of soldering the Teensy to PCB.
U8,     CAN Bus driver,        SOIC-8,     TCAN330G,             No,            3.50,        Install if need CAN Bus for board to board communication.
U11,    LDO voltage regulator, SOT-23,     TLV75533PDBVR,        Yes,           0.50,        5V-in. 3.3V-out. 500mA drive current. With overcurrent protection.
U15,    LDO voltage regulator, SOT-23,     TLV75533PDBVR,        Yes,           0.50,        5V-in. 3.3V-out. 500mA drive current. With overcurrent protection.
U16,    LDO voltage regulator, SOT-23,     TLV75533PDBVR,        Yes,           0.50,        5V-in. 3.3V-out. 500mA drive current. With overcurrent protection.
U17,    LDO voltage regulator, SOT-23,     TLV75533PDBVR,        Yes,           0.50,        5V-in. 3.3V-out. 500mA drive current. With overcurrent protection.
U18,    LDO voltage regulator, SOT-23,     TLV75533PDBVR,        Yes,           0.50,        5V-in. 3.3V-out. 500mA drive current. With overcurrent protection.
U19,    LDO voltage regulator, SOT-23,     TLV75533PDBVR,        Yes,           0.50,        5V-in. 3.3V-out. 500mA drive current. With overcurrent protection.
-,      Adafruit TFT LCD,      -,          Product ID 1770,      No,           30.00,        Install if using display. Connect display to J11 and U12.
H1,     Mounting hole 2.2mm,   -,          -,                    -,                0,        Nothing to install. just noting the mounting hole diameter for bolt selection.
H2,     Mounting hole 2.2mm,   -,          -,                    -,                0,        Nothing to install. just noting the mounting hole diameter for bolt selection.
H3,     Mounting hole 2.2mm,   -,          -,                    -,                0,        Nothing to install. just noting the mounting hole diameter for bolt selection.
H4,     Mounting hole 2.2mm,   -,          -,                    -,                0,        Nothing to install. just noting the mounting hole diameter for bolt selection.
H5,     Mounting hole 2.2mm,   -,          -,                    -,                0,        Nothing to install. just noting the mounting hole diameter - for SCA hold down.
